wavelength_nm,absorbance
380.00,0.08964
381.00,0.09014
382.00,0.09013
383.00,0.09948
384.00,0.10922
385.00,0.11128
386.00,0.10570
387.00,0.10677
388.00,0.11518
389.00,0.12382
390.00,0.11438
391.00,0.13187
392.00,0.13065
393.00,0.13876
394.00,0.14499
395.00,0.15153
396.00,0.16112
397.00,0.17018
398.00,0.16847
399.00,0.18279
400.00,0.17597
401.00,0.18745
402.00,0.19614
403.00,0.19665
404.00,0.19697
405.00,0.20120
406.00,0.20925
407.00,0.21851
408.00,0.21625
409.00,0.22609
410.00,0.23133
411.00,0.24036
412.00,0.24311
413.00,0.24852
414.00,0.24689
415.00,0.25429
416.00,0.26387
417.00,0.27204
418.00,0.25924
419.00,0.27940
420.00,0.28170
421.00,0.28140
422.00,0.28116
423.00,0.28032
424.00,0.29334
425.00,0.29849
426.00,0.29943
427.00,0.29814
428.00,0.29378
429.00,0.28550
430.00,0.29358
431.00,0.29815
432.00,0.28682
433.00,0.29700
434.00,0.29704
435.00,0.29821
436.00,0.28627
437.00,0.28850
438.00,0.28872
439.00,0.28297
440.00,0.29886
441.00,0.28368
442.00,0.28667
443.00,0.28101
444.00,0.28975
445.00,0.28571
446.00,0.27899
447.00,0.25924
448.00,0.26994
449.00,0.27080
450.00,0.26972
451.00,0.25692
452.00,0.26845
453.00,0.24646
454.00,0.24726
455.00,0.25370
456.00,0.24527
457.00,0.25392
458.00,0.24003
459.00,0.23217
460.00,0.23087
461.00,0.22386
462.00,0.22015
463.00,0.22915
464.00,0.22657
465.00,0.22874
466.00,0.21453
467.00,0.22748
468.00,0.21413
469.00,0.22404
470.00,0.21098
471.00,0.20840
472.00,0.21382
473.00,0.21829
474.00,0.21313
475.00,0.20901
476.00,0.20514
477.00,0.20574
478.00,0.21844
479.00,0.22295
480.00,0.21793
481.00,0.21469
482.00,0.22892
483.00,0.21887
484.00,0.22546
485.00,0.23696
486.00,0.22355
487.00,0.24349
488.00,0.24212
489.00,0.25099
490.00,0.25489
491.00,0.26186
492.00,0.27038
493.00,0.26750
494.00,0.28666
