wavelength_nm,absorbance
380.00,0.09167
381.00,0.08166
382.00,0.09462
383.00,0.09205
384.00,0.10016
385.00,0.11665
386.00,0.11584
387.00,0.11238
388.00,0.11516
389.00,0.12621
390.00,0.12360
391.00,0.13185
392.00,0.14282
393.00,0.15304
394.00,0.15500
395.00,0.14290
396.00,0.16384
397.00,0.16787
398.00,0.17538
399.00,0.18808
400.00,0.17152
401.00,0.18588
402.00,0.19849
403.00,0.19097
404.00,0.21480
405.00,0.21360
406.00,0.22186
407.00,0.21869
408.00,0.23225
409.00,0.23894
410.00,0.23899
411.00,0.24395
412.00,0.24898
413.00,0.24685
414.00,0.25567
415.00,0.25999
416.00,0.26738
417.00,0.27506
418.00,0.26649
419.00,0.27566
420.00,0.28864
421.00,0.27839
422.00,0.28079
423.00,0.28955
424.00,0.29576
425.00,0.29285
426.00,0.30258
427.00,0.30129
428.00,0.30247
429.00,0.30172
430.00,0.31306
431.00,0.29827
432.00,0.28760
433.00,0.30909
434.00,0.29626
435.00,0.29892
436.00,0.30512
437.00,0.28637
438.00,0.28691
439.00,0.28300
440.00,0.28577
441.00,0.29085
442.00,0.28880
443.00,0.28452
444.00,0.27138
445.00,0.26278
446.00,0.27355
447.00,0.26680
448.00,0.26862
449.00,0.26615
450.00,0.25870
451.00,0.25823
452.00,0.25073
453.00,0.24811
454.00,0.23620
455.00,0.23477
456.00,0.23239
457.00,0.23145
458.00,0.21945
459.00,0.22021
460.00,0.21076
461.00,0.20693
462.00,0.20792
463.00,0.18634
464.00,0.18592
465.00,0.18027
466.00,0.17071
467.00,0.17627
468.00,0.18057
469.00,0.17020
470.00,0.16906
471.00,0.17049
472.00,0.16814
473.00,0.15613
474.00,0.16118
475.00,0.15029
476.00,0.14155
477.00,0.14001
478.00,0.13187
479.00,0.13278
480.00,0.13349
481.00,0.13817
482.00,0.14157
483.00,0.12104
484.00,0.12995
485.00,0.11980
486.00,0.12752
487.00,0.12269
488.00,0.11148
489.00,0.12720
490.00,0.11734
491.00,0.11728
492.00,0.11374
493.00,0.11607
494.00,0.12255
495.00,0.11899
496.00,0.12239
497.00,0.12301
498.00,0.12932
499.00,0.12002
500.00,0.11402
501.00,0.13020
502.00,0.12283
503.00,0.13262
504.00,0.12943
505.00,0.12763
